course,title,units,lec_sec,days,begin,end,location
Course,Title,Units,Lec/Sec,Days,Begin,End,Location
,,,V,TBA,,,"Pittsburgh, Pennsylvania"
Mathematical Sciences,,,,,,,
21120,Differential and Integral Calculus,10.0,U,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
21127,Concepts of Mathematics,12.0,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
21241,Matrices and Linear Transformations,11.0,U,MTWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
21599,Undergraduate Reading and Research,0-99,U,TBA,,,"Pittsburgh, Pennsylvania"
,,,V,TBA,,,"Pittsburgh, Pennsylvania"
Mechanical Engineering,,,,,,,
24392,Mechancial Engineering Project,3-18,U,TBA,,,"Pittsburgh, Pennsylvania"
24491,Department Research Honors,3-24,U,TBA,,,"Pittsburgh, Pennsylvania"
24492,Department Research Honors,3-24,U,TBA,,,"Pittsburgh, Pennsylvania"
24796,Graduate Reading and Research,0-99,R,TBA,,,"Pittsburgh, Pennsylvania"
Music,,,,,,,
,,,,MW,06:30PM,07:50PM,"Pittsburgh, Pennsylvania"
57342,Sound Recording Workshop,6.0,U,MW,06:30PM,07:50PM,"Pittsburgh, Pennsylvania"
57411,Musical Theater on Stage and Screen,9.0,U,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
57617,Independent Study in Electronic and Experimental Music,3-9,U,TBA,,,"Pittsburgh, Pennsylvania"
57857,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57858,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57859,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57878,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57879,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57880,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57939,Dalcroze Eurhythmics Workshop,3-36,U,TBA,,,"Pittsburgh, Pennsylvania"
57942,Sound Recording Workshop,6.0,U,MW,06:30PM,07:50PM,"Pittsburgh, Pennsylvania"
Neuroscience Institute,,,,,,,
86799,Internship for Graduate Students,3.0,U,TBA,,,"Pittsburgh, Pennsylvania"
Philosophy,,,,,,,
80130,Introduction to Ethics,9.0,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
80205,"Games, Decisions, and Rational Thinking",9.0,U,MTWRF,02:00PM,03:20PM,"Pittsburgh, Pennsylvania"
80212,Arguments and Logical Analysis,9.0,U,MTWRF,03:30PM,04:50PM,"Pittsburgh, Pennsylvania"
80495,Independent Study,"3,6,9,12",U,TBA,,,"Pittsburgh, Pennsylvania"
80993,Dissertation Defense,5-36,U,TBA,,,"Pittsburgh, Pennsylvania"
Physics,,,,,,,
33124,Introduction to Astronomy,9.0,U,MTWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
33141,Physics I for Engineering Students,12.0,U,MTWRF,12:30PM,02:50PM,"Pittsburgh, Pennsylvania"
33142,Physics II for Engineering and Physics Students,12.0,U,MTWRF,12:30PM,02:50PM,"Pittsburgh, Pennsylvania"
33997,Graduate Laboratory,1-36,U,TBA,,,"Pittsburgh, Pennsylvania"
Psychology,,,,,,,
85241,Social Psychology,9.0,U,M,12:30AM,01:50AM,"Pittsburgh, Pennsylvania"
,,,,TWRF,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
85251,Personality,9.0,U,MTWRF,09:30AM,10:50AM,"Pittsburgh, Pennsylvania"
85482,Internship in Psychology,3-12,U,TBA,,,"Pittsburgh, Pennsylvania"
85505,Readings In Psychology,3-12,U,TBA,,,"Pittsburgh, Pennsylvania"
85781,Graduate Reading and Research,0-99,U,TBA,,,"Pittsburgh, Pennsylvania"
Social & Decision Sciences,,,,,,,
,,,UU,TBA,,,"Pittsburgh, Pennsylvania"
,,,W,TBA,,,"Pittsburgh, Pennsylvania"
Software & Societal Systems,,,,,,,
17997,Graduate Reading and Research,1-48,U,TBA,,,"Pittsburgh, Pennsylvania"
Statistics and Data Science,,,,,,,
,,,,TR,12:30PM,01:50PM,"Pittsburgh, Pennsylvania"
36202,Methods for Statistics & Data Science,9.0,U,MWF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
,,,,TR,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
36226,Introduction to Statistical Inference,9.0,U,MTWRF,11:00AM,12:20PM,"Pittsburgh, Pennsylvania"
36350,Statistical Computing,9.0,U,MTWRF,02:00PM,03:20PM,"Pittsburgh, Pennsylvania"
